,Laptop Models,Operating System,Screen Size,Screen Resolution,Touchscreen,Processor,Graphics Processor,RAM,Hard Drive Capacity,Weight,Webcam,Fingerprint Scanner,Price
562,Acer A315-23 (NX.HVUSI.00K) (Ryzen 5 8GB 512GB SSD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,AMD Radeon Vega 8,8GB,512GB,1.9 Kg,Yes,No,"Rs. 44,999"
563,Lenovo 15IML05 (81WB01BJIN) (Intel Core i5 (10th Gen) 8GB Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (10th Gen),Intel UHD,8GB,512GB,1.7 Kg,Yes,No,"Rs. 48,490"
564,Asus FX553VD-DM013 (Intel Core i7 (7th Gen) 8GB 1TB HDD 4GB Graphics ) Laptop,Linux,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i7 (7th Gen),NVIDIA GeForce GTX 1050,8GB,1TB,2.5 Kg,Yes,No,"Rs. 70,990"
565,MSI 12VE-071IN ( 16GB 512GB SSD 6GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i7 (12th Gen),NVIDIA GeForce RTX 4050,16GB,512GB,1.86 Kg,Yes,,"Rs. 82,990"
566,Asus FA506ICB-HN005W ( 8GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Octa-Core Ryzen 7,NVIDIA GeForce RTX 3050,8GB,512GB,2.3 Kg,Yes,No,"Rs. 72,990"
567,Asus FX507ZC4-HN116W (Intel Core i5 (12th Gen) 16GB 512GB SSD 4GB Graphics Windows 11 Pro) Laptop,Windows 11 Professional,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),NVIDIA GeForce RTX 3050,16GB,512GB,2.20 Kg,Yes,,"Rs. 85,990"
568,Asus S333EA-EG501TS (Intel Core i5 (11th Gen) 8GB 512GB SSD Windows 10) Laptop,Windows 10 Home Basic,13.3 inch(33.78 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,512GB,1.20 Kg,Yes,Yes,"Rs. 54,990"
569,MSI C12M-445IN (Intel Core i3 (12th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i3 (12th Gen),Intel UHD,8GB,512GB,1.4 Kg,Yes,,"Rs. 36,990"
570,Asus 14 E410KA-BV103WS ( 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1366 x 768 pixels,No,Intel Pentium Quad-Core,Intel Integrated,8GB,256GB,1.30 Kg,Yes,,"Rs. 26,990"
571,Dell 3515 (D560707WIN9S) ( 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Dual-Core Ryzen 3,AMD Radeon,8GB,256GB,1.8 Kg,Yes,,"Rs. 38,307"
572,Samsung Go ( 4GB 128GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Qualcomm Snapdragon Octa-Core,Qualcomm Adreno,4GB,128GB,1.38 Kg,Yes,,"Rs. 28,990"
573,Infinix Zero Book ZL12 (Intel Core i5 (12th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),Intel Iris Xe,16GB,512GB,1.80 Kg,Yes,Yes,"Rs. 52,990"
574,Acer A715-76G (NH.QMFSI.001) (Intel Core i5 (12th Gen) 8GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),NVIDIA GeForce RTX 3050,8GB,512GB,2.1 Kg,Yes,Yes,"Rs. 60,990"
575,Dell 3425 (D552305WIN9BE) ( 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 3,AMD Radeon,8GB,256GB,1.48 Kg,Yes,No,"Rs. 39,990"
576,HP Plus 14-eh0025TU (6H2F4PA) ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),2240 x 1400 pixels,No,Intel Core i5 (12th Gen),Intel Iris Xe,16GB,512GB,1.4 Kg,"Yes, 5 MP",Yes,"Rs. 78,790"
577,HP 15-fd0012TU (7P704PA) ( 8GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (13th Gen),Intel Iris Xe,8GB,1TB,1.59 Kg,Yes,Yes,"Rs. 69,490"
578,Asus FX506HF-HN024WS ( 8GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),NVIDIA GeForce RTX 2050,8GB,512GB,2.3 Kg,Yes,,"Rs. 59,990"
579,HP 15-fa1066TX (81H53PA) ( 16GB 512GB SSD 6GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i7 (13th Gen),NVIDIA GeForce RTX 4050,16GB,512GB,2.37 Kg,Yes,,"Rs. 1,09,990"
580,HP 15-fa0073TX (6Z2P3PA) ( 8GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i7 (12th Gen),NVIDIA GeForce RTX 3050,8GB,512GB,2.37 Kg,Yes,,"Rs. 87,990"
581,Acer AV15-51-75QQ (NX.AYCAA.002) ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,,Intel Core i7 (11th Gen),Intel Iris Xe,16GB,512GB,1.80 Kg,Yes,Yes,"Rs. 1,20,155"
582,Acer OLED SF314-71 (NX.K9PSI.003) (Intel Core i5 (12th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),2880 x 1800 pixels,No,Intel Core i5 (12th Gen),Intel Iris Xe,8GB,512GB,1.4 Kg,Yes,,"Rs. 59,900"
583,Asus 15 OLED E1504GA-NJ321WS ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (12th Gen),Intel UHD,8GB,512GB,1.63 Kg,Yes,,"Rs. 37,890"
584,Asus FX506HF-HN026W ( 8GB 1TB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),NVIDIA GeForce RTX 2050,8GB,1TB,2.30 Kg,Yes,,"Rs. 61,990"
585,Asus X1502VA-NJ541WS ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (13th Gen),Intel Iris Xe,16GB,512GB,1.70 Kg,Yes,,"Rs. 63,990"
586,Dell 14 5406 (D560367WIN9S) (Intel Core i5 (11th Gen) 8GB 512GB SSD Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,Yes,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,512GB,1.72 Kg,Yes,No,"Rs. 79,500"
587,Asus 16X M1603QA-MB512WS ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,16 inch(40.64 cm),1920 x 1200 pixels,No,AMD Hexa-Core Ryzen 5,AMD Radeon Vega 7,16GB,512GB,,Yes,,"Rs. 51,990"
588,Asus FX506HF-HN024W ( 8GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),NVIDIA GeForce RTX 2050,8GB,512GB,2.30 Kg,Yes,,"Rs. 57,990"
589,HP 15-fd0013TU (7P705PA) ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (13th Gen),Intel Integrated,16GB,512GB,1.6 Kg,Yes,,"Rs. 65,990"
590,HP 14-ca000nr (7ZU92UA) ( 4GB ) Laptop,Google Chrome,14 inch(35.56 cm),1366 x 768 pixels,No,Intel Celeron Dual-Core,Intel HD 500,4GB,,1.62 Kg,Yes,Yes,"Rs. 38,223"
591,Acer EX215-23 (NX.EH3SI.004) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 3,AMD Radeon,8GB,512GB,1.78 Kg,Yes,,"Rs. 30,990"
592,HP 15-dk0042nr (7LP27UA) (Intel Core i5 (9th Gen) 12GB 512GB SSD 4GB Graphics Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (9th Gen),NVIDIA GeForce GTX 1650,12GB,512GB,2.25 Kg,Yes,,"Rs. 1,53,205"
593,Dell 3515 (D560790WIN9BE) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,Intel Integrated,8GB,512GB,1.80 Kg,Yes,,"Rs. 48,700"
594,Asus 16X K3605ZF-MB541WS (Intel Core i5 (12th Gen) 16GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,16 inch(40.64 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),NVIDIA GeForce RTX 2050,16GB,512GB,1.80 Kg,Yes,Yes,"Rs. 65,990"
595,MSI 12HW-012IN (Intel Core i5 (12th Gen) 16GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),Intel Arc A370M,16GB,512GB,1.86 Kg,Yes,,"Rs. 52,990"
596,Asus FX777ZE-HX052WS (Intel Core i7 (12th Gen) 16GB 1TB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,17.3 inch(43.94 cm),1920 x 1080 pixels,No,Intel Core i7 (12th Gen),NVIDIA GeForce RTX 3050,16GB,1TB,2.60 Kg,Yes,,"Rs. 1,14,990"
597,Lenovo Slim 5 Gen 6 (82LN00JSIN) ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Octa-Core Ryzen 7,AMD Radeon,16GB,512GB,1.39 Kg,Yes,Yes,"Rs. 59,999"
598,Acer PHN16-71 (NH.QLTSI.001) ( 16GB 512GB SSD 6GB Graphics Windows 11) Laptop,Windows 11 Home Basic,16 inch(40.64 cm),1920 x 1200 pixels,No,Intel Core i5 (13th Gen),NVIDIA GeForce RTX 4050,16GB,512GB,2.6 Kg,Yes,,"Rs. 1,09,990"
599,Lenovo Gaming 3 15IHU6 (82K101G0IN) (Intel Core i5 (11th Gen) 8GB 1TB256GB SSD HDD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),NVIDIA GeForce RTX 3050,8GB,1TB,2.25 Kg,Yes,,"Rs. 63,990"
600,HP 13-be0030AU (4N8K9PA) ( 16GB 512GB SSD Windows 10) Laptop,Windows 10 Home Basic,13.3 inch(33.78 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,AMD Radeon,16GB,512GB,0.97 Kg,Yes,,"Rs. 78,000"
601,Asus TUF706IU-AS76 ( 16GB 1TB SSD 6GB Graphics Windows 10) Laptop,Windows 10 Home Basic,17.3 inch(43.94 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 7,NVIDIA GeForce GTX 1660 Ti,16GB,1TB,2.60 Kg,Yes,,"Rs. 2,10,672"
602,HP 15-fd0024TU (7Q865PA) ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i7 (13th Gen),Intel Integrated,16GB,512GB,1.6 Kg,Yes,,"Rs. 87,999"
603,Acer SF314-71 (NX.KAWSI.002) (Intel Core i5 (12th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),2880 x 1800 pixels,No,Intel Core i5 (12th Gen),Intel Iris Xe,16GB,512GB,1.4 Kg,Yes,,"Rs. 64,990"
604,HP 440 G8 (6G9R3PA) (Intel Core i5 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1366 x 768 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,512GB,1.38 Kg,Yes,Yes,"Rs. 70,000"
605,Asus X1402ZA-EK312WS (Intel Core i3 (12th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i3 (12th Gen),Intel Iris Xe,8GB,512GB,1.50 Kg,Yes,Yes,"Rs. 47,990"
606,Acer A515-56 (NX.A1GSI.00D) (Intel Core i5 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,512GB,1.65 Kg,Yes,No,"Rs. 54,990"
607,Asus 14 E1404GA-NK322WS ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i3 (12th Gen),Intel UHD,8GB,512GB,1.38 Kg,Yes,,"Rs. 35,990"
608,Lenovo Slim 3i (81WB01E9IN) (Intel Core i3 (10th Gen) 8GB 1TB HDD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1366 x 768 pixels,No,Intel Core i3 (10th Gen),Intel UHD,8GB,1TB,1.70 Kg,Yes,No,"Rs. 40,999"
609,Lenovo 16ACH6H (82JQ011EIN) ( 32GB 1TB SSD 8GB Graphics Windows 11) Laptop,Windows 11 Home Basic,16 inch(40.64 cm),2560 x 1600 pixels,No,AMD Octa-Core Ryzen 7,NVIDIA GeForce RTX 3070,32GB,1TB,2.4 Kg,Yes,No,"Rs. 1,49,999"
610,Asus X1404VA-NK541WS ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i5 (13th Gen),Intel Iris Xe,16GB,512GB,1.40 Kg,Yes,Yes,"Rs. 63,990"
611,Samsung 2 15.6 (Intel Core i5 (12th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),Intel Iris Xe,8GB,512GB,1.81 Kg,Yes,Yes,"Rs. 57,990"
612,Dell 3420 (293420GT2FWO2MC2IN) (Intel Core i5 (12th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),Intel Iris Xe,8GB,512GB,1.48 Kg,Yes,,"Rs. 54,900"
613,Asus X1504VA-NJ321WS ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (13th Gen),Intel UHD,8GB,512GB,1.70 Kg,Yes,,"Rs. 43,990"
614,Acer AN515-58 (UN.QFHSI.026) (Intel Core i5 (12th Gen) 16GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),NVIDIA GeForce RTX 3050,16GB,512GB,2.5 Kg,Yes,No,"Rs. 72,990"
615,Asus KM413UA-EB503TS (Ryzen 5 8GB Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,AMD Radeon,8GB,512GB,1.40 Kg,Yes,Yes,"Rs. 58,800"
616,Acer CB315-2H-25TX (NX.H8SAA.001) (AMD A4 APU 4GB 32GB SSD ) Laptop,Google Chrome,15.6 inch(39.62 cm),1366 x 768 pixels,No,AMD Dual-Core A4 APU,AMD Radeon R4,4GB,32GB,2.4 Kg,Yes,No,"Rs. 65,124"
617,Lenovo 3 15ITL6 (82H802KYIN) (Intel Core i5 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,512GB,1.65 Kg,Yes,,"Rs. 54,990"
618,HP 14-cb184nr (9MV73UA) ( 4GB Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1366 x 768 pixels,No,Intel Celeron Dual-Core,Intel UHD 600,4GB,,1.44 Kg,Yes,,"Rs. 45,763"
619,Lenovo V15 (82TTA00VIH) (Intel Core i3 (12th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (12th Gen),Intel Integrated,8GB,512GB,1.7 Kg,Yes,No,"Rs. 36,990"
620,HP 15-fc0029AU (7L033PA) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,AMD Radeon,8GB,512GB,1.59 Kg,Yes,Yes,"Rs. 48,990"
621,Samsung 2 15.6 ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,,Intel Core i5 (12th Gen),Intel Iris Xe,16GB,512GB,1.81 Kg,Yes,,"Rs. 60,990"
622,Asus UM5401QA-KM751WS ( 16GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),2880 x 1800 pixels,No,AMD Octa-Core Ryzen 7,AMD Radeon,16GB,1TB,1.40 Kg,Yes,,"Rs. 79,990"
623,Asus X1502ZA-EJ541WS (Intel Core i5 (12th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),Intel Iris Xe,16GB,512GB,1.70 Kg,Yes,,"Rs. 53,990"
624,Dell 3520 (D560917WIN9S) (Intel Core i5 (12th Gen) 8GB 1TB256GB SSD HDD Windows 11) Laptop,Windows 11,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),Intel Integrated,8GB,1TB,1.65 Kg,Yes,,"Rs. 60,990"
625,Asus OLED M3500QC-L1712WS ( 16GB 1TB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Octa-Core Ryzen 7,NVIDIA GeForce RTX 3050,16GB,1TB,1.65 Kg,Yes,Yes,"Rs. 81,990"
626,Acer OLED SFG14-71 (NX.KF1SI.002) ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),2880 x 1800 pixels,No,Intel Core i5 (13th Gen),Intel Iris Xe,16GB,512GB,1.25 Kg,Yes,Yes,"Rs. 72,990"
627,HP 15-fc0025AU (7L029PA) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 3,AMD Radeon,8GB,512GB,1.75 Kg,Yes,,"Rs. 37,990"
628,HP 15-fc0028AU (7L032PA) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,AMD Radeon,8GB,512GB,1.59 Kg,Yes,,"Rs. 47,982"
629,Dell 3511 (D560659WIN9S) (Intel Core i5 (11th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Integrated,16GB,512GB,1.80 Kg,Yes,,"Rs. 56,000"
630,Acer A515-45-R8AH (NX.ABKAA.001) ( 4GB 128GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 3,AMD Radeon,4GB,128GB,1.76 Kg,Yes,Yes,"Rs. 64,754"
631,Dell 3520 (D560915WIN9S) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i3 (12th Gen),Intel UMA,8GB,512GB,1.85 Kg,Yes,,"Rs. 41,990"
632,Asus E1404FA-NK322WS ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 3,AMD Radeon,8GB,512GB,1.38 Kg,Yes,,"Rs. 38,800"
633,Lenovo Gaming 3 (82K2025MIN) ( 16GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,NVIDIA GeForce GTX 1650,16GB,512GB,2.25 Kg,Yes,,"Rs. 61,990"
634,Lenovo 16ARH7H (82RG00ELIN) ( 16GB 1TB SSD 6GB Graphics Windows 11) Laptop,Windows 11 Home Basic,16 inch(40.64 cm),2560 x 1600 pixels,No,AMD Octa-Core Ryzen 7,NVIDIA GeForce RTX 3060,16GB,1TB,2.49 Kg,Yes,,"Rs. 1,51,990"
635,Asus X515JA-EJ552WS (Intel Core i5 (10th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (10th Gen),Intel UHD,8GB,512GB,1.80 Kg,Yes,Yes,"Rs. 49,900"
636,HP 15-fc0030AU (7L034PA) ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 5,AMD Radeon,16GB,512GB,1.75 Kg,Yes,,"Rs. 52,990"
637,HP 15-ef1021nr (2S9P9UA) (Ryzen 3 8GB 256GB SSD Windows 10) Laptop,Windows 10 Home Basic,15.6 inch(39.62 cm),1366 x 768 pixels,Yes,AMD Dual-Core Ryzen 3,AMD Radeon,8GB,256GB,1.69 Kg,Yes,No,"Rs. 66,515"
638,Lenovo V15 (82KDA01DIH) ( 8GB 256GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Quad-Core Ryzen 3,AMD Integrated,8GB,256GB,1.70 Kg,Yes,,"Rs. 35,990"
639,HP 15-fa0555TX (805X2PA) (Intel Core i5 (12th Gen) 16GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),NVIDIA GeForce RTX 3050,16GB,512GB,2.29 Kg,Yes,,"Rs. 71,990"
640,Lenovo Gaming 3 15ARH7 (82SB00NXIN) ( 16GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Hexa-Core Ryzen 5,NVIDIA GeForce RTX 2050,16GB,512GB,2.32 Kg,Yes,No,"Rs. 59,990"
641,Dell 7430 (IC7430PXXWC001ORS1) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1200 pixels,Yes,Intel Core i5 (13th Gen),Intel Iris Xe,8GB,512GB,1.58 Kg,Yes,,"Rs. 84,890"
642,HP 15-eg3026TU (7S4N6PA) ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (13th Gen),Intel Iris Xe,16GB,512GB,1.74 Kg,Yes,Yes,"Rs. 79,222"
643,Dell 5518 (D560691WIN9S) (Intel Core i5 (11th Gen) 16GB 512GB SSD 2GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),NVIDIA GeForce MX450,16GB,512GB,1.64 Kg,Yes,Yes,"Rs. 69,999"
644,Lenovo (82RG00AGIN) ( 32GB 1TB SSD 8GB Graphics Windows 11) Laptop,Windows 11 Home Basic,16 inch(40.64 cm),2560 x 1600 pixels,No,AMD Octa-Core Ryzen 7,NVIDIA GeForce RTX 3070,32GB,1TB,2.49 Kg,Yes,,"Rs. 1,79,990"
645,HP 13-bf0121TU (7H5D3PA) (Intel Core i5 (12th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,13.4 inch(34.04 cm),1920 x 1200 pixels,Yes,Intel Core i5 (12th Gen),Intel Iris Xe,16GB,512GB,1.32 Kg,"Yes, 5 MP",,"Rs. 82,990"
646,MSI 12UC-1004IN (Intel Core i7 (12th Gen) 16GB 512GB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i7 (12th Gen),NVIDIA GeForce RTX 3050,16GB,512GB,2.25 Kg,Yes,,"Rs. 85,990"
647,HP 11-ak1020nr (6QX58UA) (Intel Atom 4GB 32GB SSD Windows 10) Laptop,Windows 10 Home Basic,11.6 inch(29.46 cm),1366 x 768 pixels,No,Intel Atom Quad-Core,Intel HD,4GB,32GB,1.05 Kg,Yes,No,"Rs. 45,834"
648,HP 15-fd0021TU (7Q6Z2PA) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (13th Gen),Intel Iris Xe,8GB,512GB,1.59 Kg,Yes,,"Rs. 65,499"
649,Infinix Zero Book Ultra ZL12 ( 32GB 1TB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i9 (12th Gen),Intel Iris Xe,32GB,1TB,1.80 Kg,Yes,Yes,"Rs. 80,990"
650,Lenovo E14 (21E3S0AV00) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i3 (12th Gen),Intel UHD,8GB,512GB,1.59 Kg,Yes,,"Rs. 48,990"
651,Acer A315-58 (NX.ADDSI.00V) (Intel Core i5 (11th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,512GB,1.7 Kg,Yes,No,"Rs. 51,500"
652,HP x360 14-ek0074TU (6Q0Y9PA) (Intel Core i5 (12th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,Yes,Intel Core i5 (12th Gen),Intel Iris Xe,16GB,512GB,1.51 Kg,"Yes, 5 MP",Yes,"Rs. 73,990"
653,Asus S5504VA-MA741WS ( 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),2880 x 1620 pixels,No,Intel Core i7 (13th Gen),Intel Iris Xe,16GB,512GB,1.70 Kg,Yes,Yes,"Rs. 1,05,990"
